Timestamp,Version,P95 (ms)
2025-09-19T16:58:57,P95_Total,31918.9
2025-09-19T17:19:49,P95_Total,31933.3
2025-09-22T12:26:22,P95_Total,30333.25
2025-09-22T18:33:36,P95_Total,100426.4
2025-09-22T19:14:36,P95_Total,100418.8
2025-09-23T12:25:10,P95_Total,29473.3
2025-09-23T14:36:44,P95_Total,18029.2
2025-09-23T14:38:35,P95_Total,39973.7
2025-09-23T14:38:44,P95_Total,53481.69999999999
2025-09-24T12:25:11,P95_Total,26306.4
2025-09-25T12:25:38,P95_Total,27555.25
2025-09-26T12:26:08,P95_Total,28056.15
2025-09-29T12:25:19,P95_Total,26169.5
2025-09-30T12:23:59,P95_Total,26875.5
2025-10-02T12:24:27,P95_Total,28349.15
2025-10-03T12:23:10,P95_Total,25553.45
2025-10-06T12:24:26,P95_Total,26270.2
2025-10-07T12:25:42,P95_Total,26947.2
2025-10-08T12:25:46,P95_Total,28114.95
2025-10-09T12:39:33,P95_Total,25614.75
2025-10-10T12:24:05,P95_Total,26419.4
2025-10-13T12:27:56,P95_Total,33015.649999999994
2025-10-14T12:25:26,P95_Total,25271.9
2025-10-15T12:25:13,P95_Total,25887.9
2025-10-17T12:25:17,P95_Total,28265.09999999999
2025-10-20T12:25:15,P95_Total,27530.2
2025-10-21T14:59:23,P95_Total,28656.49999999999
2025-09-19T16:58:57,Cliente,Avalian
2025-09-19T17:19:49,Cliente,Avalian
2025-09-22T12:26:22,Cliente,Avalian
2025-09-22T18:33:36,Cliente,CFI
2025-09-22T19:14:36,Cliente,CFI
2025-09-23T12:25:10,Cliente,Avalian
2025-09-23T14:36:44,Cliente,CFI
2025-09-23T14:38:35,Cliente,CFI
2025-09-23T14:38:44,Cliente,CFI
2025-09-24T12:25:11,Cliente,Avalian
2025-09-25T12:25:38,Cliente,Avalian
2025-09-26T12:26:08,Cliente,Avalian
2025-09-29T12:25:19,Cliente,Avalian
2025-09-30T12:23:59,Cliente,Avalian
2025-10-02T12:24:27,Cliente,Avalian
2025-10-03T12:23:10,Cliente,Avalian
2025-10-06T12:24:26,Cliente,Avalian
2025-10-07T12:25:42,Cliente,Avalian
2025-10-08T12:25:46,Cliente,Avalian
2025-10-09T12:39:33,Cliente,Avalian
2025-10-10T12:24:05,Cliente,Avalian
2025-10-13T12:27:56,Cliente,Avalian
2025-10-14T12:25:26,Cliente,Avalian
2025-10-15T12:25:13,Cliente,Avalian
2025-10-17T12:25:17,Cliente,Avalian
2025-10-20T12:25:15,Cliente,Avalian
2025-10-21T14:59:23,Cliente,Avalian
2025-09-19T16:58:57,Ambiente,Production
2025-09-19T17:19:49,Ambiente,Production
2025-09-22T12:26:22,Ambiente,Production
2025-09-22T18:33:36,Ambiente,Testing
2025-09-22T19:14:36,Ambiente,Testing
2025-09-23T12:25:10,Ambiente,Production
2025-09-23T14:36:44,Ambiente,Testing
2025-09-23T14:38:35,Ambiente,Testing
2025-09-23T14:38:44,Ambiente,Testing
2025-09-24T12:25:11,Ambiente,Production
2025-09-25T12:25:38,Ambiente,Production
2025-09-26T12:26:08,Ambiente,Production
2025-09-29T12:25:19,Ambiente,Production
2025-09-30T12:23:59,Ambiente,Production
2025-10-02T12:24:27,Ambiente,Production
2025-10-03T12:23:10,Ambiente,Production
2025-10-06T12:24:26,Ambiente,Production
2025-10-07T12:25:42,Ambiente,Production
2025-10-08T12:25:46,Ambiente,Production
2025-10-09T12:39:33,Ambiente,Production
2025-10-10T12:24:05,Ambiente,Production
2025-10-13T12:27:56,Ambiente,Production
2025-10-14T12:25:26,Ambiente,Production
2025-10-15T12:25:13,Ambiente,Production
2025-10-17T12:25:17,Ambiente,Production
2025-10-20T12:25:15,Ambiente,Production
2025-10-21T14:59:23,Ambiente,Production
2025-09-19T16:58:57,Version,V1.10.1
2025-09-19T17:19:49,Version,V1.10.1
2025-09-22T12:26:22,Version,V1.10.1
2025-09-22T18:33:36,Version,V1.10.2
2025-09-22T19:14:36,Version,V1.10.2
2025-09-23T12:25:10,Version,V1.10.1
2025-09-23T14:36:44,Version,V1.10.2
2025-09-23T14:38:35,Version,V1.10.2
2025-09-23T14:38:44,Version,V1.10.2
2025-09-24T12:25:11,Version,V1.10.1
2025-09-25T12:25:38,Version,V1.10.1
2025-09-26T12:26:08,Version,V1.10.1
2025-09-29T12:25:19,Version,V1.10.1
2025-09-30T12:23:59,Version,V1.10.1
2025-10-02T12:24:27,Version,V1.10.1
2025-10-03T12:23:10,Version,V1.10.1
2025-10-06T12:24:26,Version,V1.10.1
2025-10-07T12:25:42,Version,V1.10.1
2025-10-08T12:25:46,Version,V1.10.5
2025-10-09T12:39:33,Version,V1.10.5
2025-10-10T12:24:05,Version,V1.10.5
2025-10-13T12:27:56,Version,V1.10.5
2025-10-14T12:25:26,Version,V1.10.5
2025-10-15T12:25:13,Version,V1.10.5
2025-10-17T12:25:17,Version,V1.10.5
2025-10-20T12:25:15,Version,V1.10.5
2025-10-21T14:59:23,Version,V1.10.5
