Timestamp,Sección,P95 (ms)
2025-09-19T16:58:57-03:00,Agenda,34437.2
2025-09-19T16:58:57-03:00,Home,12195.5
2025-09-19T16:58:57-03:00,Mis operaciones,27674.0
2025-09-19T16:58:57-03:00,Mis portfolios,10666.0
2025-09-19T16:58:57-03:00,Rendimiento,2486.05
2025-09-19T17:19:49-03:00,Agenda,32789.8
2025-09-19T17:19:49-03:00,Home,12016.7
2025-09-19T17:19:49-03:00,Mis operaciones,30927.35
2025-09-19T17:19:49-03:00,Mis portfolios,10034.75
2025-09-19T17:19:49-03:00,Rendimiento,2937.45
2025-09-22T12:26:22-03:00,Agenda,31188.25
2025-09-22T12:26:22-03:00,Home,41275.8
2025-09-22T12:26:22-03:00,Mis operaciones,21747.6
2025-09-22T12:26:22-03:00,Mis portfolios,9746.75
2025-09-22T12:26:22-03:00,Rendimiento,2257.05
2025-09-23T12:25:10-03:00,Agenda,32098.55
2025-09-23T12:25:10-03:00,Home,11874.7
2025-09-23T12:25:10-03:00,Mis operaciones,25496.2
2025-09-23T12:25:10-03:00,Mis portfolios,10233.75
2025-09-23T12:25:10-03:00,Rendimiento,2447.2
2025-09-24T12:25:11-03:00,Agenda,32094.9
2025-09-24T12:25:11-03:00,Home,11205.2
2025-09-24T12:25:11-03:00,Mis operaciones,23096.05
2025-09-24T12:25:11-03:00,Mis portfolios,10053.0
2025-09-24T12:25:11-03:00,Rendimiento,2346.15
2025-09-25T12:25:38-03:00,Agenda,28617.25
2025-09-25T12:25:38-03:00,Home,12256.0
2025-09-25T12:25:38-03:00,Mis operaciones,22838.2
2025-09-25T12:25:38-03:00,Mis portfolios,10457.75
2025-09-25T12:25:38-03:00,Rendimiento,3331.35
2025-09-26T12:26:08-03:00,Agenda,30035.5
2025-09-26T12:26:08-03:00,Home,14398.0
2025-09-26T12:26:08-03:00,Mis operaciones,41184.75
2025-09-26T12:26:08-03:00,Mis portfolios,10407.5
2025-09-26T12:26:08-03:00,Rendimiento,2616.2
